schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-POL-000001,ENT-POL-000001,policy_identifier,Unique business identifier assigned to the issued policy.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,POL-100001,Critical,
SCH-POL-000002,ENT-POL-000001,policy_number,Official policy number issued by the insurer.,String,Yes,No,,,Required;Unique,,Insurance Company,Internal,2311000001234,Critical,
SCH-POL-000003,ENT-POL-000001,policy_type,Classification of the issued policy.,Enumeration,Yes,No,,,Reference Integrity,Policy Type Master,Insurance Company,Internal,Comprehensive,Critical,
SCH-POL-000004,ENT-POL-000001,policy_status,Current operational status of the policy.,Enumeration,Yes,Yes,lifecycle_status,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Critical,
SCH-POL-000005,ENT-POL-000001,policy_effective_date,Date on which policy coverage begins.,Date,Yes,No,,,ISO Date,,Insurance Company,Internal,2026-07-01,Critical,
SCH-POL-000006,ENT-POL-000001,policy_expiry_date,Date on which policy coverage expires.,Date,Yes,No,,,ISO Date,,Insurance Company,Internal,2027-06-30,Critical,
SCH-POL-000007,ENT-POL-000001,policy_duration,Duration of policy validity in days.,Integer,Yes,Yes,policy_effective_date;policy_expiry_date,,Positive Number,,Derived,Internal,365,High,
SCH-POL-000008,ENT-POL-000001,policy_version,Current policy version after endorsements.,String,Yes,No,,,Required,,Internal System,Internal,1.0,Medium,
SCH-POL-000009,ENT-POL-000001,policy_summary,Simplified explanation of the issued policy.,Text,Yes,Yes,policy_type,,Domain Constraint,,Derived,Public,Comprehensive private car insurance.,Medium,
SCH-POL-000010,ENT-POL-000002,customer_identifier,Reference to the canonical customer.,Identifier,Yes,No,,,Reference Integrity,Customer Identifier Master,Customer,Internal,CUST-100001,Critical,
SCH-POL-000011,ENT-POL-000002,policy_holder_name,Legal name of the policyholder.,String,Yes,No,,,Required,,Customer,Confidential,Rahul Sharma,High,
SCH-POL-000012,ENT-POL-000002,policy_holder_type,Classification of policyholder.,Enumeration,Yes,No,,,Reference Integrity,Customer Type Master,Customer,Internal,Individual,Medium,
SCH-POL-000013,ENT-POL-000002,primary_contact,Primary communication channel for servicing.,String,Yes,No,,,Phone Number,,Customer,Restricted,+91XXXXXXXXXX,Medium,
SCH-POL-000014,ENT-POL-000002,communication_preference,Preferred communication method.,Enumeration,No,No,,,Reference Integrity,Communication Preference Master,Customer,Internal,WhatsApp,Low,
SCH-POL-000015,ENT-POL-000002,kyc_verification_status,KYC verification status of the policyholder.,Boolean,Yes,Yes,kyc_documents,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000016,ENT-POL-000002,policy_holder_relationship,Relationship between policyholder and insured asset.,Enumeration,Yes,No,,,Reference Integrity,Relationship Master,Business,Internal,Owner,Medium,
SCH-POL-000017,ENT-POL-000002,nominee_available,Indicates whether a nominee has been specified.,Boolean,No,No,,,,,Customer,Internal,False,Low,
SCH-POL-000018,ENT-POL-000002,policy_holder_summary,Simplified explanation of the policyholder.,Text,Yes,Yes,customer_profile,,Domain Constraint,,Derived,Public,Verified customer.,Low,
SCH-POL-000019,ENT-POL-000003,vehicle_identifier,Reference to the canonical vehicle.,Identifier,Yes,No,,,Reference Integrity,Vehicle Identifier Master,Vehicle,Internal,VEH-100001,Critical,
SCH-POL-000020,ENT-POL-000003,registration_number,Vehicle registration number.,String,Yes,No,,,Registration Number,,Vehicle,Public,MH12AB1234,Critical,
SCH-POL-000021,ENT-POL-000003,vehicle_category,Category of insured vehicle.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Category Master,Vehicle,Internal,Private Car,High,
SCH-POL-000022,ENT-POL-000003,vehicle_make,Manufacturer of insured vehicle.,String,Yes,No,,,Required,,Vehicle,Public,Tata Motors,Medium,
SCH-POL-000023,ENT-POL-000003,vehicle_model,Model of insured vehicle.,String,Yes,No,,,Required,,Vehicle,Public,Nexon,Medium,
SCH-POL-000024,ENT-POL-000003,insured_declared_value,Declared insured value of the vehicle.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,850000,Critical,
SCH-POL-000025,ENT-POL-000003,vehicle_usage,Declared usage category.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Usage Master,Vehicle,Internal,Private,High,
SCH-POL-000026,ENT-POL-000003,garaging_location,Primary garaging location.,String,No,No,,,,,Customer,Internal,Pune,Medium,
SCH-POL-000027,ENT-POL-000003,policy_vehicle_summary,Simplified explanation of the insured vehicle.,Text,Yes,Yes,vehicle_profile,,Domain Constraint,,Derived,Public,Private Tata Nexon.,Low,
SCH-POL-000028,ENT-POL-000004,driver_identifier,Reference to the canonical driver.,Identifier,Yes,No,,,Reference Integrity,Driver Identifier Master,Driver,Internal,DRV-100001,Critical,
SCH-POL-000029,ENT-POL-000004,primary_driver_indicator,Indicates whether this is the primary insured driver.,Boolean,Yes,No,,,,,Business,Internal,True,High,
SCH-POL-000030,ENT-POL-000004,driver_relationship,Relationship of driver to policyholder.,Enumeration,Yes,No,,,Reference Integrity,Relationship Master,Business,Internal,Self,Medium,
SCH-POL-000031,ENT-POL-000004,licence_verification_status,Driving licence verification status.,Boolean,Yes,Yes,licence_documents,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000032,ENT-POL-000004,driver_eligibility,Eligibility of driver under underwriting rules.,Boolean,Yes,Yes,driver_profile,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000033,ENT-POL-000004,declared_driver_count,Number of declared drivers covered by the policy.,Integer,Yes,Yes,driver_list,,Positive Number,,Derived,Internal,1,Medium,
SCH-POL-000034,ENT-POL-000004,young_driver_indicator,Indicates presence of young driver risk.,Boolean,Yes,Yes,driver_age,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-POL-000035,ENT-POL-000004,high_risk_driver_indicator,Indicates presence of high-risk driver characteristics.,Boolean,Yes,Yes,driver_assessment,,Domain Constraint,,Derived,Internal,False,High,
SCH-POL-000036,ENT-POL-000004,policy_driver_summary,Simplified explanation of insured driver.,Text,Yes,Yes,driver_profile,,Domain Constraint,,Derived,Public,Verified experienced driver.,Low,
SCH-POL-000037,ENT-POL-000005,coverage_identifier,Reference to canonical coverage.,Identifier,Yes,No,,,Reference Integrity,Coverage Identifier Master,Coverage,Internal,COV-100001,Critical,
SCH-POL-000038,ENT-POL-000005,coverage_name,Official name of selected coverage.,String,Yes,No,,,Required,,Coverage,Public,Own Damage,High,
SCH-POL-000039,ENT-POL-000005,coverage_status,Operational status of selected coverage.,Enumeration,Yes,Yes,coverage_lifecycle,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Medium,
SCH-POL-000040,ENT-POL-000005,coverage_effective_date,Date on which selected coverage becomes active.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-07-01,Medium,
SCH-POL-000041,ENT-POL-000005,coverage_expiry_date,Date on which selected coverage expires.,Date,Yes,No,,,ISO Date,,Business,Internal,2027-06-30,Medium,
SCH-POL-000042,ENT-POL-000005,coverage_premium,Premium allocated to the selected coverage.,Decimal,Yes,Yes,premium_allocation,,Positive Number,,Derived,Confidential,2400,Critical,
SCH-POL-000043,ENT-POL-000005,coverage_sum_insured,Maximum insured amount applicable to the selected coverage.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,850000,Critical,
SCH-POL-000044,ENT-POL-000005,coverage_selection_reason,Business explanation supporting coverage selection.,Text,Yes,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Public,Recommended for urban driving.,Medium,
SCH-POL-000045,ENT-POL-000005,selected_coverage_summary,Simplified explanation of purchased coverage.,Text,Yes,Yes,coverage_name,,Domain Constraint,,Derived,Public,Own Damage active.,Low,
SCH-POL-000046,ENT-POL-000006,base_premium,Premium before discounts and taxes.,Decimal,Yes,No,,,Positive Number,,Insurance Company,Confidential,18500,Critical,
SCH-POL-000047,ENT-POL-000006,loading_amount,Additional premium due to underwriting risk.,Decimal,Yes,Yes,risk_engine,,Positive Number,,Derived,Confidential,2000,High,
SCH-POL-000048,ENT-POL-000006,discount_amount,Discount applied before taxation.,Decimal,Yes,Yes,discount_engine,,Positive Number,,Derived,Confidential,1500,High,
SCH-POL-000049,ENT-POL-000006,no_claim_bonus,Applicable No Claim Bonus percentage.,Decimal,Yes,No,,,Percentage Range,,Business,Internal,20,High,
SCH-POL-000050,ENT-POL-000006,applicable_tax_rate,Applicable tax percentage.,Decimal,Yes,No,,,Percentage Range,,Regulatory,Internal,18,Medium,
SCH-POL-000051,ENT-POL-000006,net_premium,Premium before taxes after adjustments.,Decimal,Yes,Yes,base_premium;loading_amount;discount_amount,,Positive Number,,Derived,Confidential,19000,Critical,
SCH-POL-000052,ENT-POL-000006,gross_premium,Final premium payable.,Decimal,Yes,Yes,net_premium;applicable_tax_rate,,Positive Number,,Derived,Confidential,22420,Critical,
SCH-POL-000053,ENT-POL-000006,premium_payment_status,Current premium payment status.,Enumeration,Yes,Yes,payment_information,,Reference Integrity,Payment Status Master,Derived,Internal,Paid,High,
SCH-POL-000054,ENT-POL-000006,policy_premium_summary,Simplified explanation of premium composition.,Text,Yes,Yes,gross_premium,,Domain Constraint,,Derived,Public,Total premium ₹22,420.,Low,
SCH-POL-000055,ENT-POL-000007,endorsement_identifier,Unique identifier assigned to endorsement.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,END-100001,Critical,
SCH-POL-000056,ENT-POL-000007,endorsement_type,Classification of endorsement.,Enumeration,Yes,No,,,Reference Integrity,Endorsement Type Master,Business,Internal,Vehicle Change,Critical,
SCH-POL-000057,ENT-POL-000007,endorsement_effective_date,Effective date of endorsement.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-10-01,Medium,
SCH-POL-000058,ENT-POL-000007,endorsement_reason,Business reason for endorsement.,String,Yes,No,,,,,Business,Public,Address Change,Medium,
SCH-POL-000059,ENT-POL-000007,premium_adjustment,Premium adjustment caused by endorsement.,Decimal,Yes,Yes,premium_engine,,Positive Number,,Derived,Confidential,450,High,
SCH-POL-000060,ENT-POL-000007,endorsement_status,Workflow status of endorsement.,Enumeration,Yes,Yes,approval_workflow,,Reference Integrity,Workflow Status Master,Derived,Internal,Approved,Medium,
SCH-POL-000061,ENT-POL-000007,endorsement_summary,Simplified explanation of endorsement.,Text,Yes,Yes,endorsement_reason,,Domain Constraint,,Derived,Public,Address updated successfully.,Low,
SCH-POL-000062,ENT-POL-000008,renewal_identifier,Unique identifier assigned to renewal.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,REN-100001,Critical,
SCH-POL-000063,ENT-POL-000008,renewal_eligibility,Eligibility for policy renewal.,Boolean,Yes,Yes,renewal_engine,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000064,ENT-POL-000008,renewal_premium,Premium applicable for renewed policy.,Decimal,Yes,Yes,premium_engine,,Positive Number,,Derived,Confidential,19850,Critical,
SCH-POL-000065,ENT-POL-000008,renewal_discount,Discount applicable during renewal.,Decimal,Yes,Yes,ncb_engine,,Positive Number,,Derived,Confidential,1200,Medium,
SCH-POL-000066,ENT-POL-000008,renewal_status,Current renewal workflow status.,Enumeration,Yes,Yes,renewal_workflow,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Medium,
SCH-POL-000067,ENT-POL-000008,renewal_summary,Simplified explanation of renewal.,Text,Yes,Yes,renewal_status,,Domain Constraint,,Derived,Public,Policy renewed successfully.,Low,
SCH-POL-000068,ENT-POL-000009,lifecycle_stage,Current lifecycle stage of the policy.,Enumeration,Yes,Yes,policy_status,,Reference Integrity,Lifecycle Stage Master,Derived,Internal,Active,Critical,
SCH-POL-000069,ENT-POL-000009,issue_date,Official issuance date.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-07-01,Medium,
SCH-POL-000070,ENT-POL-000009,activation_date,Coverage activation date.,Date,Yes,No,,,ISO Date,,Business,Internal,2026-07-01,Medium,
SCH-POL-000071,ENT-POL-000009,suspension_status,Indicates whether policy is suspended.,Boolean,Yes,Yes,workflow_engine,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-POL-000072,ENT-POL-000009,cancellation_status,Indicates whether policy is cancelled.,Boolean,Yes,Yes,cancellation_workflow,,Domain Constraint,,Derived,Internal,False,High,
SCH-POL-000073,ENT-POL-000009,cancellation_reason,Reason for cancellation.,String,No,No,,,,,Business,Internal,Customer Request,Low,
SCH-POL-000074,ENT-POL-000009,expiry_status,Indicates whether policy has expired.,Boolean,Yes,Yes,policy_expiry_date,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-POL-000075,ENT-POL-000009,lifecycle_summary,Simplified lifecycle explanation.,Text,Yes,Yes,lifecycle_stage,,Domain Constraint,,Derived,Public,Active until June 2027.,Low,
SCH-POL-000076,ENT-POL-000010,policy_risk_score,Composite insurance risk score for the issued policy.,Decimal,Yes,Yes,risk_engine,,Value Range,,AI Generated,Internal,28.40,Critical,
SCH-POL-000077,ENT-POL-000010,policy_value_score,Composite value score representing benefits received.,Decimal,Yes,Yes,coverage_engine;premium_engine,,Value Range,,AI Generated,Internal,91.30,Critical,
SCH-POL-000078,ENT-POL-000010,policy_trust_score,Composite trust score assigned to the policy.,Decimal,Yes,Yes,customer_history,,Value Range,,AI Generated,Internal,95.20,High,
SCH-POL-000079,ENT-POL-000010,coverage_adequacy_score,Adequacy of selected coverages.,Decimal,Yes,Yes,coverage_analysis,,Value Range,,AI Generated,Internal,93.00,High,
SCH-POL-000080,ENT-POL-000010,premium_fairness_score,Fairness of premium relative to estimated risk.,Decimal,Yes,Yes,pricing_engine,,Value Range,,AI Generated,Internal,90.40,High,
SCH-POL-000081,ENT-POL-000010,renewal_probability,Predicted probability of policy renewal.,Decimal,Yes,Yes,behavior_model,,Percentage Range,,AI Generated,Internal,88.00,Medium,
SCH-POL-000082,ENT-POL-000010,lapse_probability,Predicted probability that the policy will lapse.,Decimal,Yes,Yes,behavior_model,,Percentage Range,,AI Generated,Internal,7.20,Medium,
SCH-POL-000083,ENT-POL-000010,fraud_risk_indicator,Estimated fraud risk associated with the policy.,Enumeration,Yes,Yes,fraud_engine,,Reference Integrity,Risk Level Master,AI Generated,Internal,Low,High,
SCH-POL-000084,ENT-POL-000010,policy_health_score,Overall policy health score.,Decimal,Yes,Yes,multi_factor_engine,,Value Range,,AI Generated,Internal,94.00,High,
SCH-POL-000085,ENT-POL-000010,recommendation_summary,Natural-language explanation describing the overall policy suitability.,Text,Yes,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Public,Excellent protection with balanced premium.,Critical,
SCH-POL-000086,ENT-POL-000010,coverage_gap,Important protection currently missing from the policy.,String,No,Yes,coverage_analysis,,Domain Constraint,,AI Generated,Public,Zero Depreciation Missing,Medium,
SCH-POL-000087,ENT-POL-000010,policy_optimization_opportunity,Recommended improvement for the policy.,String,No,Yes,optimization_engine,,Domain Constraint,,AI Generated,Public,Increase IDV,Medium,
SCH-POL-000088,ENT-POL-000010,assessment_date,Latest policy assessment timestamp.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-POL-000089,ENT-POL-000010,assessment_version,Version of policy assessment methodology.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-POL-000090,ENT-POL-000010,assessment_status,Current assessment execution status.,Enumeration,Yes,Yes,assessment_pipeline,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,Low,
SCH-POL-000091,ENT-POL-000010,assessment_remarks,Human-readable assessment remarks.,Text,No,No,,,,,Internal System,Internal,Highly suitable policy.,Low,
SCH-POL-000092,ENT-POL-000010,explainability_summary,Structured explanation of recommendation factors.,Text,Yes,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,High coverage with competitive premium and strong customer fit.,High,
